,cash,mv,nav
2006-01-31,2.1248069970170036e-10,1000000.0000000009,1000000.0000000012
2006-02-01,5224.6992754007615,996143.3741655828,1001368.0734409835
2006-02-02,6343.1752841940515,987907.3428738132,994250.5181580073
2006-02-03,6343.1752841940515,983330.2069880795,989673.3822722735
2006-02-06,6343.1752841940515,986733.9811442373,993077.1564284314
2006-02-07,6343.1752841940515,975251.6114290415,981594.7867132355
2006-02-08,6552.902547302881,979841.9523470807,986394.8548943836
2006-02-09,6552.902547302881,979333.0359844967,985885.9385317996
2006-02-10,6552.902547302881,978424.0125004147,984976.9150477176
2006-02-13,6552.902547302881,972526.1860490673,979079.0885963702
2006-02-14,6552.902547302881,980817.3841619667,987370.2867092696
2006-02-15,7344.849492142704,983683.735465774,991028.5849579166
2006-02-16,7344.849492142704,992727.7913366392,1000072.6408287819
2006-02-17,7344.849492142704,990910.2957443735,998255.1452365161
2006-02-21,7344.849492142704,988149.9363282532,995494.7858203959
2006-02-22,7344.849492142704,995083.1413534615,1002427.9908456042
2006-02-23,7344.849492142704,992720.812416038,1000065.6619081807
2006-02-24,7344.849492142704,996288.5373080096,1003633.3868001522
2006-02-27,8151.479482229601,999190.6145954248,1007342.0940776544
2006-02-28,-9888.692345330457,1017230.7864229836,1007342.0940776531
2006-03-01,-9888.692345330457,1028243.0168514913,1018354.3245061608
2006-03-02,-9888.692345330457,1027822.6107146939,1017933.9183693634
2006-03-03,-9888.692345330457,1026112.0279354074,1016223.3355900769
2006-03-06,-7378.425184600691,1015832.1642283547,1008453.7390437541
2006-03-07,-6767.818496499775,1004372.9351035068,997605.116607007
2006-03-08,-6767.818496499775,1005826.5271083891,999058.7086118893
2006-03-09,-6767.818496499775,1002005.8761961963,995238.0576996965
2006-03-10,-6767.818496499775,1009066.695707421,1002298.8772109213
2006-03-13,-6767.818496499775,1012392.1439709389,1005624.3254744391
2006-03-14,-6767.818496499775,1022695.7444076117,1015927.9259111119
2006-03-15,-6767.818496499775,1029704.3917590069,1022936.5732625071
2006-03-16,-6767.818496499775,1029175.2331902969,1022407.4146937971
2006-03-17,-6767.818496499775,1031228.9765852442,1024461.1580887444
2006-03-20,-6767.818496499775,1030532.6364545625,1023764.8179580627
2006-03-21,-6767.818496499775,1023074.3214403281,1016306.5029438284
2006-03-22,-6767.818496499775,1029181.9318244439,1022414.1133279441
2006-03-23,-6767.818496499775,1028008.5579591166,1021240.7394626169
2006-03-24,-6767.818496499775,1034748.3103962825,1027980.4918997827
2006-03-27,-6767.818496499775,1035151.5618060289,1028383.7433095291
2006-03-28,-6767.818496499775,1029961.7213100606,1023193.9028135608
2006-03-29,-6767.818496499775,1041131.7425170487,1034363.9240205489
2006-03-30,-6767.818496499775,1041957.8528161345,1035190.0343196347
2006-03-31,-11795.256111690878,1046985.2904313225,1035190.0343196316
2006-04-03,-6404.165580285027,1041231.0672769732,1034826.9016966881
2006-04-04,-6404.165580285027,1044199.8453502443,1037795.6797699593
2006-04-05,-6404.165580285027,1049764.5876082897,1043360.4220280047
2006-04-06,-6404.165580285027,1050599.2499596928,1044195.0843794078
2006-04-07,-4735.901843040568,1039291.4700775781,1034555.5682345375
2006-04-10,-3784.08463559887,1035292.9955349292,1031508.9108993304
2006-04-11,-3784.08463559887,1025367.3992413046,1021583.3146057058
2006-04-12,-3784.08463559887,1028490.7817225487,1024706.6970869498
2006-04-13,-3784.08463559887,1031600.4037325855,1027816.3190969867
2006-04-17,-3784.08463559887,1031303.6467202351,1027519.5620846363
2006-04-18,-3784.08463559887,1046796.7816958096,1043012.6970602107
2006-04-19,-3784.08463559887,1054160.5239795994,1050376.4393440005
2006-04-20,-2171.4826290125034,1049957.9820988756,1047786.499469863
2006-04-21,-2171.4826290125034,1049699.7161271027,1047528.2334980902
2006-04-24,122.31801956732215,1044191.9238760049,1044314.2418955722
2006-04-25,563.3125389483398,1039426.0413719664,1039989.3539109147
2006-04-26,563.3125389483398,1040777.1929062468,1041340.5054451951
2006-04-27,563.3125389483398,1040343.9483179017,1040907.2608568501
2006-04-28,563.3125389483398,1042369.0265502406,1042932.339089189
2006-05-01,563.3125389483398,1040367.7089378433,1040931.0214767917
2006-05-02,563.3125389483398,1046148.6177372682,1046711.9302762166
2006-05-03,563.3125389483398,1043781.1426741265,1044344.4552130749
2006-05-04,563.3125389483398,1048430.2690454904,1048993.5815844387
