date,naive_1,naive_2,m_10,m_20,m_30
2006-01-31,1.0,0.9999999999999994,1.0000000000000002,0.9999999999999972,1.0000000000000004
2006-02-01,1.000829708863741,1.0007564168494796,0.9980617563257503,0.9947612172926005,0.991724009171256
2006-02-02,0.9924568534935088,0.9913333024075696,1.0158531126589423,1.0428485920317632,1.0676902583073102
2006-02-03,0.9872200350958552,0.9857889333718874,1.0208770224799686,1.0564274687455493,1.0891415506064328
2006-02-06,0.9920473383382956,0.9873544347412508,1.0260392612527276,1.0703802279230814,1.1111834854295575
2006-02-07,0.9767437200014718,0.9768393382578197,1.0268379650276087,1.0725390047475696,1.1145938229447105
2006-02-08,0.9821194136165988,0.9843574914646428,1.0246722415629514,1.066685378195664,1.1053465297538567
2006-02-09,0.9815967170518788,0.982390669659867,1.0417047885166857,1.1127218046933212,1.1780727840695564
2006-02-10,0.9792691477227315,0.9837753384386192,1.0394271449764865,1.1065656749194792,1.1683476100368657
2006-02-13,0.9712806929584924,0.9788119056985047,1.0380508810263,1.1028458393390332,1.162471182846109
2006-02-14,0.9805462961224838,0.988378585747752,1.036568903960471,1.0988402770207506,1.1561433775406385
2006-02-15,0.9838690946700136,0.9914883588037732,1.0446548929610955,1.120695495697045,1.1906692587286205
2006-02-16,0.9940120852016231,1.0000399171520804,1.012362639106205,1.0334143641626665,1.052786493886865
2006-02-17,0.9924751210493347,0.998575673446541,0.9901418573865658,0.9733549152067732,0.9579073060105152
2006-02-21,0.9899276268953936,0.9957039257208982,0.9843675749249626,0.9577478934946141,0.9332520424181739
2006-02-22,0.9970998824173112,1.0019716286563936,0.9750543450477835,0.9325756263133658,0.8934860387554157
2006-02-23,0.9947607139296508,0.9984522470816448,0.9716261280851723,0.9233096686943452,0.8788481000284892
2006-02-24,0.999478766538328,1.000625449897004,0.9499745249376017,0.8647886242746757,0.7863992137209944
2006-02-27,1.0026462156539666,1.0035667326372244,0.957057232980154,0.8839321246032531,0.8166412455055329
2006-02-28,1.0026462156539653,1.003566732637224,0.9570572329801538,0.8839321246032555,0.8166412455055334
2006-03-01,1.0160468275310184,1.0131601061257205,0.9711451134789619,0.9192588961364232,0.8682503351839188
2006-03-02,1.0162796471926272,1.0127589076079275,0.9743034602081004,0.9271787669311974,0.879820521316128
2006-03-03,1.0157706476789052,1.0115428708429273,0.9824952355842304,0.9477204642566438,0.9098300085521708
2006-03-06,1.0061450639887768,1.0037274009608421,0.9702731112126284,0.9170722631051592,0.8650558700429931
2006-03-07,0.9908253570078045,0.9987002451465848,0.980455465207242,0.9426055357126301,0.9023575791602392
2006-03-08,0.991922209257002,1.0004115345453757,0.9716913290073269,0.9206285862881827,0.870251323635623
2006-03-09,0.9868981639980381,0.995127949839734,0.9709601528593312,0.918795088855199,0.8675727563808964
2006-03-10,0.9938473730663544,1.0020288883727893,0.9525814697280416,0.8727086999115615,0.8002448779272427
2006-03-13,0.997625008495764,1.004812580218474,0.9598096755122936,0.8908341499646472,0.8267244552181506
2006-03-14,1.0096165915208672,1.0158319324884455,0.9605200634116712,0.8926155187818632,0.8293268674694849
2006-03-15,1.018437753707261,1.0207486515262088,0.956832976239324,0.8833697783618331,0.8158197105521765
2006-03-16,1.0169706327577475,1.0219862717197281,0.9436963661241542,0.8504284126043531,0.7676954742938451
2006-03-17,1.0194457320835968,1.0236273313090238,0.9527160289002096,0.873046120514559,0.8007378176837973
2006-03-20,1.0183865206503313,1.0219666463305344,0.9515970611242243,0.8702401967293202,0.7966386270139918
2006-03-21,1.0102958719137711,1.0153017387991912,0.9419782560108548,0.8461200793922367,0.7614014047975777
2006-03-22,1.0170986573845555,1.0213141993239803,0.9517561347063623,0.8706390896709261,0.7972213720739549
2006-03-23,1.0179558068948664,1.018897910290029,0.958626142068661,0.8878663213002431,0.8223887367518453
2006-03-24,1.0266051667415543,1.021907991203362,0.9567842693315884,0.8832476409117171,0.8156412792282115
2006-03-27,1.0283460092102195,1.0211268368431317,0.9635117566524072,0.9001174892607966,0.8402865405561801
2006-03-28,1.0231374737626633,1.0148126201731864,0.9488481156989932,0.8633469407138035,0.7865682284906846
2006-03-29,1.0367494502110766,1.0237330936991311,0.949897502059128,0.8659783821288302,0.7904125168328565
2006-03-30,1.038496744926878,1.0229325304788985,0.9549435767701004,0.8786319199316883,0.8088981451219693
2006-03-31,1.038496744926878,1.0229325304788996,0.9549435767701026,0.8786319199316897,0.8088981451219672
2006-04-03,1.037975960063776,1.0254094998954406,0.9603513134156128,0.8926442416236068,0.8294541117601264
2006-04-04,1.0413471317416847,1.0315743305241336,0.9588603497660736,0.8887809132742797,0.8237866392022553
2006-04-05,1.0494376780654544,1.0366932538286164,0.9648971481293752,0.9044232357838408,0.8467338043273164
2006-04-06,1.052127230049473,1.035511272214688,0.9546010052099347,0.8777442615233333,0.8075959571598748
2006-04-07,1.041529652142752,1.0246469623515873,0.9578215383472533,0.886089184602572,0.8198378942340004
2006-04-10,1.037624357227893,1.0253387814389945,0.9624656622400178,0.8981228619482636,0.8374912050479478
2006-04-11,1.0249471148294031,1.0172540685297224,0.9581333199891432,0.8868970613447614,0.8210230431140562
2006-04-12,1.0299051237053558,1.0189296322672627,0.9598818588086052,0.8914278086860662,0.8276696141278721
2006-04-13,1.0347680510746422,1.0202231353147615,0.9701248092354904,0.9179689525812734,0.8666052652243881
2006-04-17,1.0346114151422112,1.018301707727604,0.9725702690114696,0.924305535020828,0.8759009822434031
2006-04-18,1.052502331439671,1.0362079247051337,0.9830516794267841,0.9514645673761387,0.9157430708918924
